대분류,지번주소 (읍/면/동),관할주소
근린생활시설,서울 송파구 송파동 22-2,서울특별시
근린생활시설,서울 광진구 자양동 7-30,서울특별시
근린생활시설,서울 강동구 성내동 43-19,서울특별시
근린생활시설,서울 마포구 동교동 158-24,서울특별시
근린생활시설,서울 강남구 역삼동 618-16,서울특별시
근린생활시설,서울 마포구 서교동 358-46,서울특별시
근린생활시설,서울 종로구 관철동 12-16,서울특별시
근린생활시설,서울 마포구 합정동 366-1,서울특별시
근린생활시설,서울 강남구 대치동 892,서울특별시
근린생활시설,서울 동작구 노량진동 62-8,서울특별시
근린생활시설,서울 종로구 계동 146-1,서울특별시
근린생활시설,서울 중구 명동2가 105,서울특별시
근린생활시설,서울 금천구 가산동 544-6,서울특별시
근린생활시설,서울 중구 충무로5가 36-12,서울특별시
근린생활시설,서울 종로구 신문로2가 1-348,서울특별시
근린생활시설,서울 중구 명동2가 54-20,서울특별시
근린생활시설,서울 강남구 논현동 123,서울특별시
근린생활시설,서울 강남구 신사동 651-4,서울특별시
근린생활시설,서울 구로구 구로동 1124-49,서울특별시
근린생활시설,서울 마포구 합정동 366-3,서울특별시
근린생활시설,서울 강남구 역삼동 831-35,서울특별시
근린생활시설,서울 서초구 서초동 1363-10,서울특별시
근린생활시설,서울 강남구 역삼동 614-2,서울특별시
근린생활시설,서울 강남구 신사동 516-16,서울특별시
근린생활시설,서울 마포구 서교동 364-2,서울특별시
근린생활시설,서울 강남구 논현동 13-2,서울특별시
근린생활시설,서울 마포구 서교동 369-1,서울특별시
근린생활시설,서울 강남구 신사동 554-4,서울특별시
근린생활시설,서울 강남구 신사동 646-21,서울특별시
근린생활시설,서울 강남구 청담동 88-37,서울특별시
공동주택,서울 서초구 방배동 784-14,서울특별시
공동주택,서울 강동구 성내동 501-9,서울특별시
공동주택,서울 강동구 성내동 447-7,서울특별시
공동주택,서울 서초구 양재동 7-8,서울특별시
공동주택,서울 강동구 성내동 517-20,서울특별시
공동주택,서울 강동구 성내동 518-7,서울특별시
공동주택,서울 강동구 성내동 517-4,서울특별시
공동주택,서울 강동구 성내동 526-1,서울특별시
공동주택,서울 성동구 응봉동 264-88,서울특별시
공동주택,서울 서대문구 홍은동 397-23,서울특별시
공동주택,서울 성동구 성수동1가 656-28,서울특별시
공동주택,서울 송파구 석촌동 157-5,서울특별시
공동주택,서울 관악구 봉천동 878-2,서울특별시
공동주택,서울 동작구 본동 379-8,서울특별시
공동주택,서울 강북구 번동 440-7,서울특별시
공동주택,서울 강동구 성내동 537-12,서울특별시
공동주택,서울 강북구 미아동 791-1736,서울특별시
공동주택,서울 은평구 녹번동 117-24,서울특별시
공동주택,서울 강동구 성내동 532,서울특별시
공동주택,서울 동작구 상도동 302-44,서울특별시
공동주택,서울 서대문구 연희동 220-15,서울특별시
공동주택,서울 송파구 방이동 103-1,서울특별시
공동주택,서울 강동구 성내동 444-7,서울특별시
공동주택,서울 강동구 천호동 110-10,서울특별시
공동주택,서울 양천구 신정동 945-21,서울특별시
공동주택,서울 종로구 평창동 412-1,서울특별시
공동주택,서울 은평구 진관동 165-2,서울특별시
공동주택,서울 마포구 서교동 351-15,서울특별시
공동주택,서울 강동구 성내동 517-23,서울특별시
공동주택,서울 은평구 신사동 184-5,서울특별시
자동차관련시설,서울 도봉구 방학동 708-2,서울특별시
자동차관련시설,서울 성동구 성수동2가 279-29,서울특별시
자동차관련시설,서울 동작구 노량진동 20,서울특별시
자동차관련시설,서울 마포구 성산동 590-3,서울특별시
자동차관련시설,서울 영등포구 문래동1가 22-19,서울특별시
자동차관련시설,서울 강서구 외발산동 233,서울특별시
